1.55.38,3.31
2.0.39,3.4
2.5.39,3.31
2.10.40,3.38
2.15.40,3.35
2.20.41,3.36
2.25.41,3.36
2.30.41,3.36
2.35.42,3.29
2.40.42,3.36
2.45.43,3.33
2.50.43,3.36
2.55.44,3.36
3.0.44,3.26
3.5.44,3.35
3.10.45,3.33
3.15.45,3.33
3.20.46,3.35
3.25.47,3.32
3.30.47,3.35
3.35.48,3.35
3.40.48,3.32
3.45.48,3.25
3.50.49,3.26
3.55.49,3.34
4.0.50,3.32
4.5.50,3.34
4.10.51,3.33
4.15.51,3.25
4.20.51,3.33
4.25.52,3.33
4.30.52,3.29
4.35.53,3.26
4.40.53,3.33
4.45.54,3.33
4.50.54,3.3
4.55.54,3.29
5.0.55,3.31
5.5.55,3.22
5.10.56,3.22
5.15.56,3.21
5.20.57,3.31
5.25.57,3.25
5.30.58,3.25
5.35.58,3.2
5.40.58,3.27
5.45.59,3.26
5.50.59,3.22
5.56.0,3.26
6.1.0,3.27
6.6.1,3.25
6.11.1,3.23
6.16.1,3.19
6.21.2,3.23
6.26.2,3.27
6.31.3,3.18
6.36.3,3.23
6.41.4,3.23
6.46.4,3.18
6.51.5,3.2
6.56.5,3.24
7.1.5,3.18
7.6.6,3.11
7.11.6,3.1
7.16.7,3.12
7.21.7,3.09
7.26.8,3.19
7.31.8,3.1
7.36.8,3.1
7.41.9,3.08
7.46.9,3.2
7.51.10,3.2
7.56.10,3.12
8.1.11,3.19
8.6.11,3.13
8.11.11,3.05
8.16.12,3.15
8.24.28,3.34
8.36.48,3.31
8.48.21,3.33
8.50.51,0.0
9.1.20,3.32
9.5.23,0.0
9.7.53,0.0
9.10.24,0.0
9.12.55,0.0
9.15.25,0.0
9.17.56,0.0
9.19.27,0.0
9.29.15,0.0
9.50.40,3.32
9.55.40,3.33
10.1.41,0.0
10.4.11,0.0
10.4.42,0.0
10.6.42,0.0
10.9.13,0.0
10.11.43,0.0
10.14.14,0.0
10.16.45,0.0
10.19.15,0.0
10.21.46,0.0
10.24.17,0.0
10.26.47,0.0
10.29.18,0.0
10.29.49,0.0
10.31.49,0.0
10.34.19,0.0
10.36.50,0.0
10.39.21,0.0
10.41.51,0.0
11.20.41,3.37
11.25.42,3.37
11.30.42,3.37
